# timestep	eccentricity	obliquity	LSP 
-183	1.12E-01	4.08E-01	3.57E+00
-184	1.11E-01	4.06E-01	3.46E+00
-185	1.10E-01	4.04E-01	3.34E+00
-186	1.09E-01	4.02E-01	3.22E+00
-187	1.07E-01	4.00E-01	3.11E+00
-188	1.06E-01	3.99E-01	2.99E+00
-189	1.05E-01	3.97E-01	2.87E+00
-190	1.03E-01	3.95E-01	2.75E+00
-191	1.01E-01	3.94E-01	2.63E+00
-192	9.99E-02	3.92E-01	2.52E+00
-193	9.82E-02	3.91E-01	2.39E+00
-194	9.63E-02	3.90E-01	2.28E+00
-195	9.46E-02	3.89E-01	2.15E+00
-196	9.28E-02	3.88E-01	2.03E+00
-197	9.09E-02	3.87E-01	1.91E+00
-198	8.92E-02	3.87E-01	1.79E+00
-199	8.75E-02	3.86E-01	1.66E+00
-200	8.57E-02	3.86E-01	1.54E+00
-201	8.38E-02	3.86E-01	1.41E+00
-202	8.20E-02	3.86E-01	1.29E+00
-203	8.04E-02	3.86E-01	1.16E+00
-204	7.85E-02	3.86E-01	1.03E+00
-205	7.67E-02	3.87E-01	8.96E-01
-206	7.51E-02	3.88E-01	7.64E-01
-207	7.35E-02	3.89E-01	6.27E-01
-208	7.20E-02	3.90E-01	4.91E-01
-209	7.06E-02	3.91E-01	3.52E-01
-210	6.94E-02	3.92E-01	2.10E-01
-211	6.81E-02	3.94E-01	7.04E-02
-212	6.72E-02	3.95E-01	6.21E+00
-213	6.62E-02	3.97E-01	6.07E+00
-214	6.54E-02	3.99E-01	5.92E+00
-215	6.46E-02	4.01E-01	5.78E+00
-216	6.39E-02	4.03E-01	5.63E+00
-217	6.35E-02	4.05E-01	5.49E+00
-218	6.30E-02	4.07E-01	5.34E+00
-219	6.28E-02	4.09E-01	5.19E+00
-220	6.28E-02	4.11E-01	5.04E+00
-221	6.28E-02	4.14E-01	4.89E+00
-222	6.30E-02	4.16E-01	4.75E+00
-223	6.34E-02	4.18E-01	4.60E+00
-224	6.39E-02	4.20E-01	4.46E+00
-225	6.43E-02	4.22E-01	4.32E+00
-226	6.50E-02	4.25E-01	4.17E+00
-227	6.57E-02	4.27E-01	4.04E+00
-228	6.64E-02	4.29E-01	3.90E+00
-229	6.72E-02	4.31E-01	3.76E+00
-230	6.80E-02	4.33E-01	3.62E+00
-231	6.90E-02	4.35E-01	3.49E+00
-232	6.99E-02	4.37E-01	3.36E+00
-233	7.10E-02	4.38E-01	3.23E+00
-234	7.22E-02	4.40E-01	3.10E+00
-235	7.32E-02	4.42E-01	2.97E+00
-236	7.44E-02	4.43E-01	2.84E+00
-237	7.56E-02	4.45E-01	2.72E+00
-238	7.67E-02	4.46E-01	2.59E+00
-239	7.78E-02	4.48E-01	2.47E+00
-240	7.90E-02	4.49E-01	2.35E+00
-241	8.02E-02	4.50E-01	2.23E+00
-242	8.13E-02	4.51E-01	2.11E+00
-243	8.25E-02	4.52E-01	1.99E+00
-244	8.36E-02	4.53E-01	1.88E+00
-245	8.48E-02	4.54E-01	1.76E+00
-246	8.59E-02	4.55E-01	1.64E+00
-247	8.71E-02	4.56E-01	1.53E+00
-248	8.83E-02	4.56E-01	1.42E+00
-249	8.93E-02	4.57E-01	1.30E+00
-250	9.03E-02	4.57E-01	1.19E+00
-251	9.13E-02	4.58E-01	1.08E+00
-252	9.23E-02	4.58E-01	9.65E-01
-253	9.31E-02	4.59E-01	8.55E-01
-254	9.40E-02	4.59E-01	7.44E-01
-255	9.49E-02	4.60E-01	6.32E-01
-256	9.56E-02	4.60E-01	5.20E-01
-257	9.65E-02	4.60E-01	4.10E-01
-258	9.72E-02	4.61E-01	3.00E-01
-259	9.80E-02	4.61E-01	1.89E-01
-260	9.87E-02	4.61E-01	7.88E-02
-261	9.93E-02	4.61E-01	6.25E+00
-262	9.99E-02	4.62E-01	6.14E+00
-263	1.00E-01	4.62E-01	6.03E+00
-264	1.01E-01	4.62E-01	5.92E+00
-265	1.01E-01	4.62E-01	5.81E+00
-266	1.01E-01	4.63E-01	5.70E+00
-267	1.02E-01	4.63E-01	5.59E+00
-268	1.02E-01	4.63E-01	5.48E+00
-269	1.02E-01	4.63E-01	5.37E+00
-270	1.02E-01	4.63E-01	5.26E+00
-271	1.02E-01	4.64E-01	5.15E+00
-272	1.03E-01	4.64E-01	5.03E+00
-273	1.03E-01	4.64E-01	4.92E+00
-274	1.02E-01	4.64E-01	4.81E+00
-275	1.02E-01	4.64E-01	4.70E+00
